,level_0,index,pid,hid,cid,syear,jl0058,jl0059_h,jl0061,jl0062,jl0063,jl0064,jl0065,jl0066,jl0067,jl0068,jl0069,jl0070,jl0071,jl0072,jl0073,jl0074,jl0105_h,jl0125_v3,jl0127_h,jl0139,jl0140,jl0141,jl0142,jl0143,jl0144,jl0145,jl0146,jl0151,jl0164,migration_classmate,jl0218,jl0219,jl0233,jl0272,trust,rely_none,distrust_stranger,jl0367,jl0371,jl0376,jl0379,jl0388,jl0392,sex,gebjahr,psample,migback,State,bet3year,father_educ1,mother_educ1,father_educ2,mother_educ2,father_reli,mother_reli,work_father,single_parent,work_mother,Age,Gymnasium,year_hgsch_entry,Treat,rely_someone,trust_stranger,trust_var,std_trust_var,std_trust,female,rural,East,migration_backgrnd,low_performing,highest_educ_hh,reli_hh
0,7,7,9804,981,981,2009,2,5,1,4,2,2,3,1,2,-1,1,2,5,3,4,1,1,3,-2,1,-2,-2,1,1,1,1,-2,3,2,1,2,169,1992,1,3,6,7,6,2,3,5,1,8,2,1992,1,3,11.0,2002.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,17,1,2002.0,0,2,1,6,-1.919713586300653,-0.8972137116679668,1,0,1,1,0,1,1
1,20,20,1057003,105708,1481,2017,2,1,2,5,2,5,3,2,2,-1,2,-1,5,5,4,2,1,3,-2,1,-2,-2,-2,-2,1,-2,-2,3,2,1,2,168,2000,1,5,2,5,2,2,6,6,3,7,1,2000,1,1,11.0,2012.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,17,1,2012.0,1,6,3,14,0.4624602578571101,0.4574168883523255,0,0,1,1,0,1,1
2,22,22,950104,95010,1660,2012,1,4,1,4,3,4,4,2,4,5,2,2,5,2,4,2,1,3,-2,1,-2,-2,-2,-2,-2,1,-2,3,2,1,2,175,1995,1,4,3,3,2,2,4,6,3,7,2,1995,1,3,11.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17,1,2007.0,1,5,5,14,0.4624602578571101,-0.21989841165782062,1,0,1,1,0,1,0
3,23,23,950105,95010,1660,2015,1,2,1,5,-1,5,2,4,2,1,3,4,5,5,5,2,2,3,-2,1,-2,-2,1,-2,-2,-2,-2,3,2,1,2,188,1998,1,1,6,7,6,5,4,4,3,10,1,1998,1,3,11.0,2008.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,17,1,2008.0,1,2,1,4,-2.5152570473400937,-2.2518443116882594,0,0,1,1,0,1,0
4,49,49,883103,88315,2429,2011,1,1,1,2,2,5,3,1,5,1,1,1,5,2,4,1,1,3,-2,-2,-2,-2,-2,-2,-2,1,-2,3,2,1,1,169,1994,2,4,3,7,1,2,4,7,3,10,2,1994,1,1,3.0,2005.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2005.0,1,5,1,10,-0.7286266642217715,-0.21989841165782062,1,0,0,1,0,1,1
5,55,55,29403,2941,2941,2007,1,5,1,5,2,5,5,1,4,-1,2,2,4,5,4,2,1,3,-2,-2,-2,-2,1,-2,-2,-2,-2,3,2,0,2,168,1990,3,4,4,-1,3,6,6,4,1,6,2,1990,1,1,1.0,2001.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2001.0,0,4,9,17,1.3557754494162713,-0.21989841165782062,1,0,0,1,0,0,1
6,56,56,29404,2941,2941,2009,2,4,1,5,2,5,5,2,2,2,1,3,4,2,4,2,1,3,-2,1,-2,1,1,-2,-2,-2,-2,3,2,0,2,175,1992,3,4,2,6,-1,-1,-1,-1,3,-1,2,1992,1,1,1.0,2003.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2003.0,0,6,2,12,-0.13308320318233066,-0.21989841165782062,1,0,0,1,0,0,1
7,59,59,945803,122840,3204,2012,1,5,1,5,1,1,5,2,2,5,2,2,4,4,5,2,1,3,-2,1,-2,-2,-2,1,-2,1,-2,3,2,1,1,173,1995,2,3,3,7,4,2,1,5,3,8,2,1995,1,1,5.0,2006.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,17,1,2006.0,1,5,1,9,-1.0263983947414919,-0.8972137116679668,1,0,0,1,0,1,0
8,73,73,41605,4162,4162,2006,1,4,1,4,2,2,3,1,2,2,2,2,5,2,4,2,1,3,-2,-2,-2,-2,1,1,-2,1,-2,3,2,1,1,161,1989,-1,4,3,5,6,5,4,6,3,8,2,1989,1,3,5.0,1999.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17,1,1999.0,0,5,3,12,-0.13308320318233066,-0.21989841165782062,1,0,0,1,0,1,1
9,77,77,821803,82180,4472,2013,1,4,2,5,1,2,5,1,4,1,2,2,5,5,5,2,1,3,-2,-2,-2,-2,-2,-2,1,-2,-2,3,2,1,2,172,1996,3,3,5,5,5,3,6,1,2,8,2,1996,1,1,1.0,2006.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17,1,2006.0,0,3,3,9,-1.0263983947414919,-0.8972137116679668,1,0,0,1,0,1,0
10,79,79,46703,109576,4677,2010,2,5,1,1,2,2,5,1,2,5,2,2,5,2,3,1,1,3,-2,1,-2,-2,-2,1,-2,-2,-2,3,2,1,1,173,1993,1,5,1,3,3,6,2,5,2,8,2,1993,1,1,2.0,2003.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,17,1,2003.0,1,7,5,17,1.3557754494162713,0.4574168883523255,1,0,0,1,0,1,1
11,80,80,600803,60089,4731,2014,2,5,1,1,5,1,5,4,4,3,5,1,4,2,5,2,1,3,-2,1,-2,-2,1,-2,1,-2,-2,3,2,1,1,172,1997,2,4,4,6,3,3,3,6,3,7,2,1997,1,1,1.0,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17,1,2007.0,0,4,2,10,-0.7286266642217715,-0.21989841165782062,1,0,0,1,0,0,0
12,85,85,604204,60429,4944,2011,1,1,1,5,2,5,2,1,1,5,1,1,5,5,4,2,1,3,-2,-2,-2,-2,-2,-2,-2,1,-2,3,2,1,3,194,1994,3,2,6,7,2,4,6,-1,3,9,1,1994,1,1,3.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,17,1,2004.0,1,2,1,5,-2.2174853168203734,-1.574529011678113,0,0,0,1,0,1,1
13,87,87,51204,5126,5126,2006,1,4,1,1,4,2,5,1,5,5,2,1,5,5,5,1,1,3,-2,-2,-2,-2,1,1,-2,1,-2,4,2,1,2,164,1989,1,6,4,4,1,5,6,3,4,7,2,1989,1,3,3.0,1998.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,17,1,1998.0,0,4,4,14,0.4624602578571101,1.1347321883624717,1,0,0,1,1,1,0
14,128,128,910203,91022,7030,2014,1,1,2,4,2,4,4,3,2,-1,1,1,5,5,4,2,1,3,-2,-2,-2,-2,-2,-2,1,-2,-2,3,2,1,1,190,1997,3,3,5,6,4,6,3,6,3,9,1,1997,1,1,3.0,2007.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2007.0,1,3,2,8,-1.3241701252612121,-0.8972137116679668,0,0,0,1,0,1,1
15,143,143,797203,79723,7560,2010,1,1,1,2,2,5,4,1,2,1,1,1,5,2,4,1,1,3,-2,-2,-2,-2,-2,-2,-2,-2,1,3,2,0,2,180,1993,3,4,2,4,5,7,1,7,1,8,1,1993,1,1,3.0,2004.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,17,1,2004.0,1,6,4,14,0.4624602578571101,-0.21989841165782062,0,0,0,1,0,1,1
16,150,150,78204,7820,7820,2007,1,3,1,2,4,3,5,3,2,1,5,1,5,5,5,1,2,3,-2,-2,-2,-2,1,-2,-2,1,-2,2,2,1,2,177,1990,1,5,3,5,2,3,7,3,2,5,2,1990,1,1,11.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,17,1,2002.0,0,5,3,13,0.1646885273373897,0.4574168883523255,1,0,1,1,1,1,1
17,151,151,78206,7820,7820,2010,1,3,1,1,2,-1,2,1,2,5,2,2,5,5,4,1,2,3,-2,-2,-2,-2,-2,-2,-2,1,-2,3,2,1,2,192,1993,1,3,4,4,3,4,5,3,2,2,1,1993,1,1,11.0,-2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,17,1,2005.0,0,4,4,11,-0.4308549337020511,-0.8972137116679668,0,0,1,1,0,1,0
18,167,167,702303,70238,8168,2006,2,2,1,4,2,4,2,1,4,-1,2,2,5,2,4,2,1,3,-2,-2,-2,-2,-2,-2,1,-2,-2,3,2,0,1,188,1989,2,4,1,4,3,2,4,6,2,7,1,1989,1,1,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17,1,1999.0,0,7,4,15,0.7602319883768305,-0.21989841165782062,0,0,0,1,0,0,0
19,183,183,609503,60950,8915,2006,2,4,1,2,2,5,4,1,2,4,4,3,5,2,4,1,1,3,-2,1,-2,-2,-2,1,1,1,-2,3,2,1,2,180,1989,3,4,4,6,5,3,5,4,1,7,1,1989,1,1,3.0,-2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,17,1,1999.0,0,4,2,10,-0.7286266642217715,-0.21989841165782062,0,0,0,1,0,1,1
20,185,185,609505,60950,8915,2013,1,1,1,1,1,5,2,2,2,3,1,1,5,3,5,1,1,3,-2,-2,-2,-2,-2,-2,1,-2,-2,3,2,0,1,185,1996,3,2,7,5,4,6,4,6,2,8,1,1996,1,1,3.0,2007.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,17,1,2007.0,1,1,3,6,-1.919713586300653,-1.574529011678113,0,0,0,1,0,1,1
21,192,192,797405,79740,9253,2008,1,3,1,5,2,5,5,3,2,5,1,2,5,3,4,2,1,3,-2,1,-2,-2,-2,-2,-2,1,-2,3,2,1,2,188,1991,3,5,1,7,7,6,5,4,2,8,1,1991,1,1,3.0,2002.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2002.0,0,7,1,13,0.1646885273373897,0.4574168883523255,0,0,0,1,0,0,1
22,194,194,797503,79758,9253,2008,1,4,1,4,2,5,5,4,4,2,2,2,5,5,4,2,1,3,-2,1,-2,-2,-2,1,-2,-2,-2,2,2,1,3,169,1991,3,4,3,6,2,2,6,2,3,5,2,1991,1,1,1.0,2002.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17,1,2002.0,0,5,2,11,-0.4308549337020511,-0.21989841165782062,1,0,0,1,1,0,1
23,228,228,110803,11088,11088,2006,1,4,1,1,2,2,2,5,2,5,1,1,3,1,4,1,1,3,-2,-2,-2,-2,-2,1,-2,-2,-2,3,2,1,2,168,1989,1,4,3,6,5,5,5,5,3,7,2,1989,1,1,5.0,2000.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,17,1,2000.0,0,5,2,11,-0.4308549337020511,-0.21989841165782062,1,0,0,1,0,1,1
24,236,236,114704,11479,11479,2010,1,1,1,1,4,2,2,4,2,2,2,2,5,4,4,2,1,3,-2,1,-2,1,-2,-2,1,1,-2,3,2,0,1,173,1993,1,4,2,3,4,5,4,5,2,9,1,1993,1,1,5.0,2004.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2004.0,0,6,5,15,0.7602319883768305,-0.21989841165782062,0,0,0,1,0,0,1
25,238,238,114905,11495,11495,2008,2,3,1,1,4,2,4,4,2,2,2,3,5,5,4,2,1,3,-2,-2,-2,-2,-2,-2,-2,1,-2,3,2,1,1,169,1991,1,5,3,6,3,5,4,6,2,8,1,1991,1,3,5.0,2002.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17,1,2002.0,0,5,2,12,-0.13308320318233066,0.4574168883523255,0,0,0,1,0,0,1
26,242,242,829103,82910,11789,2012,2,3,1,5,1,5,3,2,2,-1,2,1,5,5,4,2,1,3,-2,1,-2,-2,-2,1,1,-2,-2,3,2,1,2,185,1995,1,6,1,3,3,3,4,7,2,7,1,1995,1,1,5.0,2007.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2007.0,1,7,5,18,1.6535471799359915,1.1347321883624717,0,0,0,1,0,1,1
27,243,243,829104,82910,11789,2015,2,5,1,1,1,1,4,1,2,2,2,2,5,5,4,1,1,3,-2,-2,1,-2,-2,-2,-2,-2,-2,3,2,1,1,180,1998,1,5,1,5,4,1,1,6,1,9,1,1998,1,1,5.0,2008.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2008.0,1,7,3,15,0.7602319883768305,0.4574168883523255,0,0,0,1,0,1,1
28,246,246,970303,97039,12041,2012,1,3,1,5,1,5,5,1,2,2,1,1,5,5,4,2,1,3,-2,1,-2,-2,-2,-2,-2,-2,-2,3,2,1,1,179,1995,3,4,2,7,4,3,5,5,4,8,1,1995,1,1,5.0,2005.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17,1,2005.0,1,6,1,11,-0.4308549337020511,-0.21989841165782062,0,0,0,1,0,1,1
29,254,254,862003,86207,12726,2015,2,3,1,2,2,4,5,2,2,5,2,4,5,4,5,1,1,3,-2,1,-2,-2,-2,1,1,1,-2,3,2,1,3,176,1998,2,6,2,3,2,5,3,6,3,10,2,1998,1,1,5.0,2009.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,17,1,2009.0,1,6,5,17,1.3557754494162713,1.1347321883624717,1,0,0,1,0,1,1
30,258,258,129103,100528,12912,2009,5,5,1,5,1,2,5,3,1,5,2,5,2,4,5,2,1,3,-2,-2,-2,-2,-2,-2,-2,1,-2,3,2,1,3,170,1992,1,4,4,4,5,5,2,5,4,5,2,1992,1,1,5.0,2003.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,17,1,2003.0,0,4,4,12,-0.13308320318233066,-0.21989841165782062,1,0,0,1,0,1,0
31,271,271,822903,82295,13145,2014,1,5,1,2,2,4,5,1,2,-1,2,1,5,5,2,1,1,3,-2,1,-2,-2,1,1,-2,-2,-2,3,2,1,1,174,1997,1,5,3,6,2,2,6,5,3,8,2,1997,1,1,5.0,2007.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2007.0,1,5,2,12,-0.13308320318233066,0.4574168883523255,1,0,0,1,0,1,1
32,274,274,134604,13463,13463,2006,1,2,1,5,2,4,5,1,2,1,2,2,5,5,5,2,1,3,-2,-2,-2,-2,-2,-2,1,1,-2,3,2,0,2,184,1989,2,2,6,6,4,3,4,2,3,9,2,1989,1,1,5.0,1999.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,17,1,1999.0,0,2,2,6,-1.919713586300653,-1.574529011678113,1,0,0,1,0,0,0
33,275,275,134605,13463,13463,2007,1,4,1,1,4,2,4,4,2,2,1,1,5,1,5,2,1,3,-2,-2,-2,-2,-2,-2,-2,-2,1,2,2,1,3,174,1990,3,3,6,5,2,6,6,3,3,7,2,1990,1,1,5.0,2000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,17,1,2000.0,0,2,3,8,-1.3241701252612121,-0.8972137116679668,1,0,0,1,1,0,0
34,286,286,833903,83399,13862,2016,1,5,1,2,2,4,5,4,2,5,3,4,5,4,4,1,1,3,-2,1,-2,-2,-2,1,1,-2,-2,3,2,1,2,183,1999,3,3,3,3,2,2,3,3,3,5,1,1999,1,1,9.0,-2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,17,1,2009.0,1,5,5,13,0.1646885273373897,-0.8972137116679668,0,0,0,1,0,1,1
35,288,288,651503,65153,13897,2007,2,2,1,1,2,2,3,3,4,1,1,1,3,2,3,1,1,3,-2,1,-2,-2,1,1,1,-2,-2,3,2,1,1,175,1990,2,3,5,2,2,6,2,6,2,9,1,1990,1,1,5.0,1999.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,1999.0,0,3,6,12,-0.13308320318233066,-0.8972137116679668,0,0,0,1,0,1,1
36,289,289,651504,65153,13897,2011,2,4,1,4,1,4,3,3,2,5,2,3,4,5,3,2,1,3,-2,1,1,1,-2,-2,1,-2,-2,3,2,1,1,168,1994,2,4,4,5,3,2,6,5,3,7,2,1994,1,1,5.0,2004.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2004.0,0,4,3,11,-0.4308549337020511,-0.21989841165782062,1,0,0,1,0,1,1
37,290,290,651505,65153,13897,2014,2,1,1,5,2,5,4,4,1,5,3,5,5,3,3,2,1,3,-2,1,-2,-2,-2,-2,1,-2,-2,3,2,1,2,180,1997,2,5,2,5,4,6,5,6,3,7,1,1997,1,1,5.0,2008.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2008.0,1,6,3,14,0.4624602578571101,0.4574168883523255,0,0,0,1,0,1,1
38,314,314,854607,85464,15296,2009,1,1,1,1,5,1,4,3,4,2,2,3,4,3,4,2,1,3,-2,1,-2,-2,1,-2,1,1,-2,2,2,1,3,182,1992,1,5,2,2,4,5,3,5,3,9,1,1992,1,1,5.0,2002.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,17,1,2002.0,0,6,6,17,1.3557754494162713,0.4574168883523255,0,0,0,1,1,0,0
39,316,316,153807,15385,15385,2015,2,2,2,2,2,4,4,4,3,5,2,2,4,4,4,1,1,3,-2,-2,-2,-2,-2,-2,-2,-2,1,3,2,1,2,183,1998,1,4,4,5,3,2,3,4,3,9,1,1998,1,1,4.0,2008.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,17,1,2008.0,1,4,3,11,-0.4308549337020511,-0.21989841165782062,0,0,0,1,0,1,0
40,317,317,154702,15474,15474,2008,1,1,1,4,2,4,3,4,1,1,1,2,3,4,5,2,2,3,-2,1,-2,-2,-2,1,-2,-2,-2,2,2,1,2,183,1991,1,2,2,6,2,7,3,7,3,7,1,1991,1,1,5.0,2002.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17,1,2002.0,0,6,2,10,-0.7286266642217715,-1.574529011678113,0,0,0,1,1,1,1
41,318,318,154704,15474,15474,2011,1,1,1,4,2,4,3,3,2,5,2,2,4,4,5,2,1,3,-2,1,-2,-2,-2,-2,-2,-2,-2,4,2,1,2,191,1994,1,5,2,6,5,4,5,6,1,7,1,1994,1,1,5.0,2004.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17,1,2004.0,0,6,2,13,0.1646885273373897,0.4574168883523255,0,0,0,1,1,1,1
42,319,319,155003,15504,15504,2010,1,3,1,1,5,1,2,5,1,-1,1,1,5,2,5,2,1,3,-2,-2,-2,-2,-2,-2,-2,1,-2,3,2,1,2,170,1993,2,6,2,6,2,5,6,6,3,9,1,1993,1,1,5.0,2004.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,17,1,2004.0,0,6,2,14,0.4624602578571101,1.1347321883624717,0,0,0,1,0,1,1
43,320,320,155004,15504,15504,2014,2,2,2,4,5,2,2,2,1,5,3,3,5,2,4,2,1,3,-2,-2,-2,-2,-2,-2,-2,1,-2,3,2,1,2,168,1997,2,6,1,7,4,6,7,2,3,8,2,1997,1,1,5.0,2008.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2008.0,1,7,1,14,0.4624602578571101,1.1347321883624717,1,0,0,1,0,1,1
44,321,321,668004,66800,15512,2012,1,5,1,5,2,2,5,5,2,2,-1,4,5,5,5,2,1,3,-2,1,-2,-2,1,-2,-2,1,-2,2,2,1,1,175,1995,3,3,3,7,1,6,7,2,4,9,2,1995,1,1,5.0,2005.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17,1,2005.0,1,5,1,9,-1.0263983947414919,-0.8972137116679668,1,0,0,1,1,1,0
45,328,328,160404,16047,16047,2009,1,1,1,2,2,2,4,1,2,5,1,2,5,2,3,1,1,3,-2,-2,-2,-2,-2,-2,-2,1,-2,4,2,1,2,176,1992,3,6,4,4,3,5,7,2,1,9,1,1992,1,1,9.0,2003.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2003.0,1,4,4,14,0.4624602578571101,1.1347321883624717,0,0,0,1,1,1,1
46,340,340,163104,16314,16314,2006,4,5,1,5,1,5,5,1,1,2,2,2,5,5,5,2,1,3,-2,-2,-2,-2,-2,1,1,1,-2,2,2,0,1,167,1989,3,4,1,4,1,2,6,7,4,9,2,1989,1,1,3.0,1999.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,1999.0,0,7,4,15,0.7602319883768305,-0.21989841165782062,1,0,0,1,1,0,1
47,347,347,914103,106054,16640,2010,2,1,1,2,2,2,2,1,1,5,2,2,3,2,3,1,1,3,-2,-2,-2,-2,-2,1,-2,1,-2,3,2,1,1,180,1993,2,5,1,5,5,6,5,3,2,8,1,1993,1,1,5.0,2003.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,17,1,2003.0,0,7,3,15,0.7602319883768305,0.4574168883523255,0,0,0,1,0,1,1
48,348,348,914106,91413,16640,2016,2,2,1,2,2,4,5,2,1,2,3,1,5,2,4,1,2,3,-2,-2,-2,-2,-2,1,-2,1,-2,3,2,1,1,180,1999,2,4,4,6,5,5,6,4,3,5,2,1999,1,1,5.0,2009.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2009.0,1,4,2,10,-0.7286266642217715,-0.21989841165782062,1,0,0,1,0,1,1
49,364,364,650103,65013,16993,2008,1,2,1,5,2,5,5,1,1,1,2,1,5,5,5,2,1,3,-2,-2,-2,-2,-2,1,-2,-2,-2,3,2,1,2,190,1991,3,6,2,5,5,6,2,7,4,9,1,1991,1,1,5.0,2001.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,17,1,2001.0,0,6,3,15,0.7602319883768305,1.1347321883624717,0,0,0,1,0,0,1
50,372,372,171804,17183,17183,2007,1,1,1,1,1,4,3,1,2,2,2,2,4,5,2,1,1,3,-2,-2,-2,-2,-2,-2,-2,-2,1,3,2,1,1,172,1990,3,4,4,4,2,2,5,5,3,8,2,1990,1,1,5.0,2001.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2001.0,0,4,4,12,-0.13308320318233066,-0.21989841165782062,1,0,0,1,0,1,1
51,375,375,756503,75655,17507,2011,1,1,1,4,1,4,5,4,4,5,2,5,5,2,4,2,1,3,-2,1,-2,-2,-2,-2,1,1,-2,3,2,1,3,179,1994,2,5,4,7,2,4,3,3,3,10,1,1994,1,1,5.0,2005.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2005.0,1,4,1,10,-0.7286266642217715,0.4574168883523255,0,0,0,1,0,1,1
52,376,376,756504,75655,17507,2014,2,3,1,1,2,3,5,2,5,2,2,5,5,5,5,1,1,3,-2,1,-2,-2,-2,-2,-2,1,-2,3,2,1,2,167,1997,2,2,3,6,4,3,3,6,2,8,2,1997,1,1,5.0,2007.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2007.0,1,5,2,9,-1.0263983947414919,-1.574529011678113,1,0,0,1,0,1,1
53,379,379,177006,17701,17701,2008,1,2,1,1,5,2,5,4,5,5,2,5,4,2,4,2,1,3,-2,1,-2,-2,-2,-2,1,1,-2,3,2,0,1,185,1991,2,6,2,7,4,3,4,6,3,9,1,1991,1,1,5.0,2002.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2002.0,0,6,1,13,0.1646885273373897,1.1347321883624717,0,0,0,1,0,0,1
54,390,390,180503,18058,18058,2008,1,1,1,5,2,3,5,3,1,2,2,2,5,5,4,2,1,3,-2,1,-2,-2,-2,1,-2,-2,-2,3,2,1,2,163,1991,2,5,4,7,3,5,3,5,3,8,2,1991,1,1,5.0,2002.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2002.0,0,4,1,10,-0.7286266642217715,0.4574168883523255,1,0,0,1,0,1,1
55,391,391,180504,18058,18058,2012,2,1,1,3,2,5,5,2,2,5,2,5,5,5,4,2,1,3,-2,-2,-2,-2,-2,-2,-2,-2,1,3,2,1,1,180,1995,2,5,1,7,4,4,2,7,3,9,1,1995,1,1,5.0,2006.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2006.0,1,7,1,13,0.1646885273373897,0.4574168883523255,0,0,0,1,0,1,1
56,392,392,180505,18058,18058,2017,1,1,1,5,2,5,4,4,2,4,1,1,4,4,4,2,1,3,-2,1,-2,-2,1,-2,1,1,-2,3,2,1,1,180,2000,1,5,1,6,4,6,5,4,3,8,1,2000,1,1,5.0,2010.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2010.0,1,7,2,14,0.4624602578571101,0.4574168883523255,0,0,0,1,0,1,1
57,395,395,1111503,111155,18082,2018,1,2,1,4,1,5,5,1,1,5,2,2,5,5,4,2,1,3,-2,1,-2,-2,-2,1,-2,-2,-2,3,2,1,1,170,2001,2,3,3,5,4,5,6,4,3,10,1,2001,1,1,5.0,2010.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,17,1,2010.0,1,5,3,11,-0.4308549337020511,-0.8972137116679668,0,0,0,1,0,1,1
58,399,399,181804,18180,18180,2007,1,3,1,1,4,5,5,5,4,3,2,3,5,5,5,1,2,3,-2,-2,-2,-2,-2,-2,-2,-2,1,3,2,1,2,185,1990,2,4,1,6,4,7,3,6,3,5,1,1990,1,1,5.0,2000.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,17,1,2000.0,0,7,2,13,0.1646885273373897,-0.21989841165782062,0,0,0,1,0,1,1
59,424,424,190803,19089,19089,2009,1,4,1,2,2,4,5,1,3,2,2,2,5,5,4,1,1,3,-2,1,-2,-2,-2,-2,1,1,-2,3,2,1,2,168,1992,3,4,2,5,3,2,5,3,3,9,2,1992,1,1,5.0,2003.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,17,1,2003.0,0,6,3,13,0.1646885273373897,-0.21989841165782062,1,0,0,1,0,0,1
60,433,433,854103,85413,19518,2008,1,4,1,2,2,4,5,1,2,5,2,2,5,5,2,1,1,3,-2,-2,-2,-2,-2,1,-2,-2,-2,3,2,1,2,165,1991,1,3,5,3,5,3,7,5,4,6,2,1991,1,1,9.0,2002.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,17,1,2002.0,0,3,5,11,-0.4308549337020511,-0.8972137116679668,1,0,0,1,0,1,0
61,461,461,715104,71510,20036,2010,2,4,1,1,2,2,4,3,2,2,2,2,2,5,4,1,1,3,-2,1,-2,1,1,1,-2,1,-2,3,2,1,1,177,1993,3,3,6,7,3,3,1,7,3,8,2,1993,1,1,5.0,2003.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,17,1,2003.0,0,2,1,6,-1.919713586300653,-0.8972137116679668,1,0,0,1,0,0,1
